1,1
2,1
3,3
4,4
5,5
6,5
7,7
8,5
9,7
10,10
11,6
1,1
2,1
3,3
4,4
5,5
6,6
7,8
8,5
9,7
10,10
11,6
1,1
2,2
3,3
4,4
5,5
6,4
7,8
8,5
9,5
10,10
11,4
1,1
2,2
3,3
4,4
5,5
6,4
7,5
8,5
9,6
10,10
11,4
1,1
2,2
3,3
4,4
5,5
6,4
7,5
8,5
9,6
10,10
11,4
1,1
2,2
3,4
4,4
5,5
6,4
7,5
8,5
9,6
10,10
11,4
1,3
2,3
3,3
4,6
5,5
6,5
7,5
8,7
9,10
10,7
11,3
1,8
2,3
3,3
4,6
5,5
6,5
7,5
8,7
9,10
10,7
11,3
1,8
2,3
3,3
4,6
5,5
6,5
7,5
8,7
9,10
10,7
11,3
1,8
2,3
3,3
4,6
5,5
6,6
7,6
8,7
9,10
10,7
11,3
1,8
2,3
3,3
4,6
5,5
6,6
7,7
8,7
9,10
10,7
11,6
1,8
2,3
3,3
4,6
5,5
6,6
7,5
8,5
9,10
10,7
11,6
1,3
2,2
3,3
4,4
5,5
6,5
7,6
8,8
9,10
10,10
11,5
1,3
2,2
3,2
4,4
5,5
6,5
7,6
8,8
9,8
10,10
11,5
1,1
2,2
3,2
4,4
5,5
6,5
7,6
8,8
9,10
10,10
11,6
1,1
2,6
3,2
4,4
5,5
6,5
7,6
8,8
9,8
10,10
11,6
1,2
2,6
3,3
4,4
5,6
6,5
7,6
8,8
9,8
10,10
11,11
1,2
2,2
3,4
4,4
5,5
6,5
7,6
8,8
9,10
10,10
11,11
