Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_decision_templates_agg_des,0.743765173250938,0.8291390728476822,0.9618794326241135,0.9146574536900911,0.8285714285714285,0.8556025121968507,0.07579030731818868
parzen_ecoc_agg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parzen_max_agg_desthr,0.8367088607594937,0.8744290527892176,0.9617862697178404,0.9333628514500775,0.8166742047339062,0.8845922478901069,0.0554011889068653
svdd_max_agg,0.7689724647414372,0.858324791331088,0.7382608695652174,0.7082299722749161,0.7506555780325167,0.7648887351890351,0.05073226752219657
kmeans_max_agg,0.8075632132468114,0.8250715684797348,0.9235385641253612,0.8759615384615385,0.8545454545454545,0.8573360677717801,0.0406344709973441
kmeans_decision_templates_agg_desthr,0.7704456142952473,0.7979112271540469,0.9522752497225305,0.9617579485659231,0.8940556809631302,0.8752891441401756,0.07840332299506135
parzen_decision_templates_agg,0.20885860306643955,0.3238785262833359,0.3992671196274524,0.4968644845518507,0.39764705882352946,0.36530315847052164,0.0956022595289642
svdd_ecoc_agg,0.5248797354179194,0.42173721340388004,0.7725703371776977,0.7396860986547085,0.7317164458417547,0.6381179660991921,0.13913858420609357
svdd_max_agg_desthr,0.8367331745086362,0.8652741514360314,0.9240170814313061,0.9146449051610057,0.8845286423094272,0.8850395909692812,0.03200050915486442
svdd_ecoc_agg_des,0.8282290279627164,0.8257149290700293,0.9332495564754583,0.8469864333901698,0.8272215973003374,0.8522803088397423,0.041221758133585855
kmeans_ecoc_agg_des,0.7705986959098993,0.8179184310229553,0.776720034617049,0.68856536688858,0.7785800240673887,0.7664765105011744,0.04239064690588116
svdd_decision_templates_agg,0.7630418809698751,0.8861764705882353,0.8403697772601543,0.8031822144725371,0.8293838862559242,0.8244308459093453,0.040770611137297914
kmeans_decision_templates_agg_des,0.7701388373301656,0.798152149616273,0.9522752497225305,0.9522540528536532,0.8656167979002625,0.867687417484577,0.07571232873645323
svdd_decision_templates_agg_desthr,0.7529281767955801,0.7989759572573464,0.9713375796178344,0.9335051546391753,0.8754117999401019,0.8664317336500076,0.08126261268176524
parzen_decision_templates_agg_des,0.6400088125137695,0.7456586031697885,0.7781516375056079,0.8270391061452513,0.8350265352539803,0.7651769389176796,0.07060065430818104
parzen_ecoc_agg_des,0.6817910001494991,0.8460505705974491,0.6222952224523317,0.6451939779965258,0.6747495280964135,0.694016059858444,0.07894633364791441
kmeans_max_agg_des,0.8077925947999702,0.8544018058690745,0.9235385641253612,0.8953076582558654,0.8549739406299569,0.8672029127360457,0.039513502277699945
kmeans_max_agg_desthr,0.8175660588016376,0.8544018058690745,0.9329372447085036,0.9330764099903653,0.8837420526793824,0.8843447144097926,0.04492736799070348
parzen_decision_templates_agg_desthr,0.7145807212921307,0.8050181378476421,0.8942228848304137,0.9237250554323725,0.8842676311030742,0.8443628861011266,0.07585272781588775
kmeans_decision_templates_agg,0.7707855186199748,0.8557262153295556,0.9428655790950026,0.952147785444024,0.8658582229208773,0.8774766642818868,0.06609471580691756
kmeans_ecoc_agg,0.5655611684603559,0.5125481249108799,0.6224839400428266,0.6063358279444888,0.7209442189144489,0.6055746560546,0.06906758137969123
svdd_max_agg_des,0.8268972715073803,0.8855875831485588,0.8586972396670075,0.7841553906591009,0.8279569892473118,0.8366588948458717,0.03408030394411376
parzen_max_agg,0.8372420958883776,0.9038461538461539,0.9617862697178404,0.9051400838296934,0.7790287472791413,0.8774086701122412,0.06305476043833652
parzen_ecoc_agg_desthr,0.6863395225464191,0.8260413545100389,0.8214207650273224,0.7823822795951298,0.7834020011771631,0.7799171845712146,0.05024934967440483
kmeans_ecoc_agg_desthr,0.7899333826794966,0.8263016157989228,0.8960058629534629,0.819261116436841,0.8072869617585064,0.8277577879254461,0.03628182455402157
svdd_ecoc_agg_desthr,0.7574486549030952,0.8453700928978124,0.8860256221469592,0.8956157128144769,0.7901013714967203,0.8349122908518127,0.053694463561045125
parzen_max_agg_des,0.8368789050877715,0.9038461538461539,0.9617862697178404,0.9051400838296934,0.7883979561166216,0.8792098737196161,0.060227732075722115
