Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_ecoc_agg,0.3333333333333333,0.5138888888888888,0.4305555555555556,0.704225352112676,0.6338028169014085,0.5231611893583724,0.13395685474836266
svdd_max_agg_desthr,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.971830985915493,0.9436619718309859,0.9580985915492958,0.024890870772176697
kmeans_max_agg_desthr,0.9444444444444444,0.9583333333333334,0.8611111111111112,0.971830985915493,0.9154929577464789,0.9302425665101721,0.03928635954241733
parzen_decision_templates_agg,0.2222222222222222,0.2777777777777778,0.2638888888888889,0.30985915492957744,0.29577464788732394,0.2739045383411581,0.030190770651585826
kmeans_decision_templates_agg_desthr,0.6388888888888888,0.7638888888888888,0.8194444444444444,0.9154929577464789,0.8309859154929577,0.7937402190923318,0.09136926709982471
svdd_ecoc_agg_des,0.6388888888888888,0.6666666666666666,0.5277777777777778,0.647887323943662,0.7746478873239436,0.6511737089201877,0.07858012143555701
svdd_max_agg,0.8194444444444444,0.9166666666666666,0.875,0.9577464788732394,0.9436619718309859,0.9025039123630674,0.050202890413719524
parzen_ecoc_agg_desthr,0.5416666666666666,0.4861111111111111,0.4861111111111111,0.5915492957746479,0.6197183098591549,0.5450312989045384,0.05421544327489008
parzen_ecoc_agg_des,0.5416666666666666,0.5,0.5416666666666666,0.6338028169014085,0.676056338028169,0.5786384976525821,0.06549989866799356
svdd_decision_templates_agg_desthr,0.7361111111111112,0.7777777777777778,0.7777777777777778,0.9154929577464789,0.8873239436619719,0.8188967136150234,0.06963922736922425
svdd_ecoc_agg_desthr,0.6527777777777778,0.7222222222222222,0.5,0.676056338028169,0.7887323943661971,0.6679577464788732,0.09595516884161853
svdd_max_agg_des,0.9027777777777778,0.9583333333333334,0.9027777777777778,0.971830985915493,0.9436619718309859,0.9358763693270735,0.028455926686164507
svdd_decision_templates_agg,0.9027777777777778,0.875,0.8611111111111112,0.9577464788732394,0.9154929577464789,0.9024256651017215,0.03373523390895096
parzen_ecoc_agg,0.125,0.125,0.05555555555555555,0.056338028169014086,0.056338028169014086,0.08364632237871675,0.03376634523193359
parzen_decision_templates_agg_desthr,0.4861111111111111,0.4583333333333333,0.4861111111111111,0.5774647887323944,0.6338028169014085,0.5283646322378717,0.06633722797103404
parzen_max_agg_des,0.8888888888888888,0.9444444444444444,0.9027777777777778,0.9295774647887324,0.9014084507042254,0.9134194053208138,0.020410239794647164
kmeans_max_agg,0.8611111111111112,0.9305555555555556,0.8472222222222222,0.971830985915493,0.9154929577464789,0.9052425665101721,0.045812184494388654
kmeans_decision_templates_agg_des,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.9436619718309859,0.8450704225352113,0.8466353677621283,0.05666582173688815
svdd_decision_templates_agg_des,0.8472222222222222,0.8194444444444444,0.8055555555555556,0.9436619718309859,0.9014084507042254,0.8634585289514867,0.05181968820835147
kmeans_max_agg_des,0.8611111111111112,0.9444444444444444,0.8472222222222222,0.971830985915493,0.9154929577464789,0.90802034428795,0.047647121241451346
kmeans_ecoc_agg_desthr,0.7083333333333334,0.8055555555555556,0.6805555555555556,0.7183098591549296,0.8028169014084507,0.743114241001565,0.05138459583307592
kmeans_ecoc_agg_des,0.625,0.75,0.75,0.7183098591549296,0.7605633802816901,0.7207746478873239,0.049940452539412386
parzen_max_agg_desthr,0.9722222222222222,0.9444444444444444,0.9027777777777778,0.9436619718309859,0.9295774647887324,0.9385367762128325,0.02260465738374683
parzen_decision_templates_agg_des,0.4861111111111111,0.4583333333333333,0.4861111111111111,0.5774647887323944,0.6197183098591549,0.525547730829421,0.0619544155592986
kmeans_ecoc_agg,0.625,0.6527777777777778,0.6527777777777778,0.8450704225352113,0.647887323943662,0.6847026604068857,0.0808405740335534
parzen_max_agg,0.8888888888888888,0.9305555555555556,0.9027777777777778,0.9295774647887324,0.9014084507042254,0.910641627543036,0.01658555870452511
kmeans_decision_templates_agg,0.8888888888888888,0.9027777777777778,0.9027777777777778,0.971830985915493,0.8591549295774648,0.9050860719874804,0.036979882539005825
