Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_max_agg_des,0.69,0.71,0.76,0.67,0.67,,
parzen_max_agg_desthr,0.76,0.74,0.74,0.71,0.72,,
kmeans_ecoc_agg_des,0.33,0.43,0.33,0.33,0.43,,
kmeans_ecoc_agg_desthr,0.49,0.51,0.5,0.32,0.54,,
parzen_ecoc_agg_desthr,0.49,0.55,0.62,0.42,0.53,,
kmeans_decision_templates_agg,0.66,0.73,0.65,0.7,0.67,,
kmeans_decision_templates_agg_desthr,0.52,0.58,0.51,0.59,0.56,,
svdd_ecoc_agg_des,0.35,0.47,0.35,0.37,0.35,,
kmeans_max_agg_des,0.7,0.63,0.65,0.69,0.64,,
svdd_max_agg_desthr,0.73,0.72,0.76,0.76,0.71,,
parzen_decision_templates_agg_desthr,0.6,0.64,0.67,0.62,0.65,,
svdd_max_agg,0.69,0.71,0.76,0.67,0.67,,
kmeans_max_agg_desthr,0.71,0.7,0.7,0.72,0.67,,
parzen_max_agg_des,0.75,0.74,0.73,0.7,0.71,,
svdd_decision_templates_agg_desthr,0.59,0.59,0.69,0.65,0.63,,
svdd_decision_templates_agg,0.66,0.75,0.75,0.72,0.7,,
parzen_ecoc_agg,0.51,0.4,0.51,0.47,0.5,,
parzen_decision_templates_agg_des,0.66,0.73,0.67,0.64,0.65,,
kmeans_max_agg,0.7,0.63,0.65,0.67,0.64,,
svdd_decision_templates_agg_des,0.64,0.69,0.7,0.71,0.66,,
parzen_max_agg,0.75,0.74,0.73,0.7,0.71,,
parzen_decision_templates_agg,0.73,0.74,0.71,0.69,0.72,,
svdd_ecoc_agg,0.43,0.47,0.51,0.34,0.35,,
svdd_ecoc_agg_desthr,0.48,0.52,0.33,0.47,0.48,,
kmeans_decision_templates_agg_des,0.57,0.63,0.58,0.59,0.59,,
parzen_ecoc_agg_des,0.42,0.36,0.51,0.42,0.43,,
kmeans_ecoc_agg,0.35,0.37,0.37,0.44,0.34,,
