Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_max_agg_des,0.8106060606060606,0.8282828282828283,0.8106060606060606,0.797979797979798,0.803030303030303,,
parzen_max_agg_desthr,0.9015151515151515,0.9318181818181819,0.9368686868686869,0.9040404040404041,0.9040404040404041,,
kmeans_ecoc_agg_des,0.7222222222222222,0.744949494949495,0.7525252525252525,0.7171717171717171,0.7196969696969697,,
kmeans_ecoc_agg_desthr,0.8055555555555556,0.8208363374188897,0.8308080808080808,0.7929292929292929,0.7929292929292929,,
parzen_ecoc_agg_desthr,0.6691919191919191,0.679524152847873,0.6616161616161615,0.6464646464646464,0.6414141414141414,,
kmeans_decision_templates_agg,0.8282828282828283,0.8434343434343434,0.797979797979798,0.8181818181818181,0.7777777777777778,,
kmeans_decision_templates_agg_desthr,0.7651515151515151,0.7828282828282829,0.7575757575757576,0.7525252525252525,0.7702020202020202,,
svdd_ecoc_agg_des,0.7222222222222222,0.7575757575757576,0.7601010101010102,0.7323232323232323,0.744949494949495,,
kmeans_max_agg_des,0.8434343434343434,0.8434343434343434,0.8232323232323232,0.8282828282828283,0.8232323232323232,,
svdd_max_agg_desthr,0.845959595959596,0.8661616161616161,0.8787878787878788,0.8762626262626263,0.845959595959596,,
parzen_decision_templates_agg_desthr,0.7121212121212122,0.7297979797979798,0.7171717171717171,0.7196969696969697,0.6969696969696969,,
svdd_max_agg,0.6919191919191919,0.6641414141414141,0.648989898989899,0.6161616161616161,0.6944444444444444,,
kmeans_max_agg_desthr,0.8661616161616161,0.9015151515151515,0.8863636363636364,0.8787878787878788,0.8661616161616161,,
parzen_max_agg_des,0.8838383838383839,0.9015151515151515,0.9217171717171717,0.8787878787878788,0.9040404040404041,,
svdd_decision_templates_agg_desthr,0.7171717171717171,0.7348484848484849,0.7348484848484849,0.7777777777777778,0.7424242424242424,,
svdd_decision_templates_agg,0.7424242424242424,0.7348484848484849,0.7323232323232323,0.7171717171717171,0.7247474747474747,,
parzen_ecoc_agg,0.26515151515151514,0.2803030303030303,0.3005050505050505,0.21969696969696972,0.2247474747474747,,
parzen_decision_templates_agg_des,0.7171717171717171,0.7348484848484849,0.7272727272727273,0.7196969696969697,0.702020202020202,,
kmeans_max_agg,0.6792929292929293,0.6237373737373737,0.5151515151515151,0.6893939393939394,0.5883838383838385,,
svdd_decision_templates_agg_des,0.7247474747474747,0.7297979797979798,0.7297979797979798,0.7550505050505051,0.7196969696969697,,
parzen_max_agg,0.8358585858585859,0.8484848484848485,0.898989898989899,0.8383838383838383,0.8787878787878788,,
parzen_decision_templates_agg,0.6388888888888888,0.7323232323232323,0.6919191919191919,0.5883838383838385,0.654040404040404,,
svdd_ecoc_agg,0.4015151515151515,0.44191919191919193,0.43434343434343436,0.30808080808080807,0.4217171717171717,,
svdd_ecoc_agg_desthr,0.8156565656565656,0.830930064888248,0.8484848484848485,0.7777777777777778,0.8181818181818181,,
kmeans_decision_templates_agg_des,0.7601010101010102,0.7727272727272727,0.75,0.7323232323232323,0.755050505050505,,
parzen_ecoc_agg_des,0.6666666666666667,0.6843434343434344,0.6616161616161615,0.6464646464646464,0.6439393939393939,,
kmeans_ecoc_agg,0.2222222222222221,0.21969696969696972,0.2272727272727273,0.23484848484848486,0.20707070707070707,,
