Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_decision_templates_agg_des,0.9407446647495081,0.9606364527562024,0.9473014719244048,0.9539201888591274,0.9476691729323308,0.9500543902443148,0.00673592244055587
parzen_ecoc_agg,0.7648909337841958,0.3999342243497803,0.6680356870308446,0.6075149892310379,0.7000081133708351,0.6280767895533387,0.12486853613743631
parzen_max_agg_desthr,0.9612259147564364,0.9807152357026747,0.967989756722151,0.9401997922649233,0.9426676039012389,0.958559660669485,0.015339800283106485
svdd_max_agg,0.6688266850799384,0.7652916073968705,0.7540738277352843,0.7370277078085643,0.7843504125887546,0.7419140481218824,0.03965061034876963
kmeans_max_agg,0.8891798174226877,0.9550307917238935,0.8518089527832663,0.8771880293619424,0.8218249563976534,0.8790065095378885,0.0444880470650645
kmeans_decision_templates_agg_desthr,0.9612259147564364,0.9675972826410821,0.9679586334909621,0.9615752668384248,0.918494710443631,0.9553703616341073,0.0186577822226413
parzen_decision_templates_agg,0.9179590593219109,0.9370359112423466,0.8881668213954153,0.730435552407932,0.8481145251396648,0.8643423739014539,0.07337722200101877
svdd_ecoc_agg,0.4539351599170396,0.5940949664606772,0.597520355292376,0.29002634994297394,0.15547442082844354,0.418210250488302,0.17310404079471473
svdd_max_agg_desthr,0.9602515876521024,0.9606364527562024,0.9738408803896806,0.9401997922649233,0.9806563500533618,0.9631170126232542,0.013872220614094901
svdd_ecoc_agg_des,0.9335421281796654,0.9402162294230828,0.9341926114187166,0.9309862405169181,0.9200729308005428,0.9318020280677851,0.006599679592786179
kmeans_ecoc_agg_des,0.9215013985383019,0.9808695907118564,0.9283468104222821,0.933965844402277,0.914900981159333,0.9359169250468101,0.0233723460675324
svdd_decision_templates_agg,0.6617642193031797,0.7890525550100018,0.6710028739978824,0.7921705634686016,0.6178463855421688,0.7063673194643668,0.07109863732658508
kmeans_decision_templates_agg_des,0.9483012196752485,0.9675972826410821,0.9620087336244542,0.9491755633771962,0.9066924066924067,0.9467550412020775,0.021355741335972574
svdd_decision_templates_agg_desthr,0.9670144681367345,0.9805583695846493,0.9740793707543797,0.9538734207895295,0.9806563500533618,0.971236395863731,0.010030102834731219
parzen_decision_templates_agg_des,0.9488693965707233,0.9807152357026747,0.9619072638907132,0.9870528007619501,0.9432328973697184,0.9643555188591559,0.017174318126108316
parzen_ecoc_agg_des,0.9282135141622659,0.9618632923229785,0.9283231972198088,0.9428149922584792,0.9346041672930635,0.9391638326513192,0.01254444766111399
kmeans_max_agg_des,0.9423102426948411,0.9675972826410821,0.9432386586055413,0.9243664604372835,0.9200729308005428,0.9395171150358582,0.01683903736405436
kmeans_max_agg_desthr,0.9612259147564364,0.9675972826410821,0.961395101171459,0.9549902441908591,0.9318414905133611,0.9554100066546395,0.012440474211389463
parzen_decision_templates_agg_desthr,0.9612259147564364,0.9807152357026747,0.967989756722151,0.9739649574312091,0.9428967327887982,0.9653585194802539,0.01294938762983431
kmeans_decision_templates_agg,0.9183747113163973,0.9550307917238935,0.9076498478522398,0.9433470805296288,0.8607476895668633,0.9170300241978045,0.03284552593512339
kmeans_ecoc_agg,0.6972411852685513,0.13452708907254363,0.6828006548986696,0.7304753193874842,0.7686753057740211,0.6027439108802539,0.23597218051456517
svdd_max_agg_des,0.9396187420956846,0.9402162294230828,0.9399088271860754,0.9332770918015185,0.9473477168880685,0.940073721478886,0.004457795173966154
parzen_max_agg,0.9428350319773384,0.9681561301279611,0.8698810626023787,0.5322203403500283,0.7201636560135865,0.8066512442142585,0.1621235862330955
parzen_ecoc_agg_desthr,0.9287935832378458,0.9680719884912363,0.9550937942425672,0.9190686092108653,0.9547655832194426,0.9451587116803915,0.018245695252891152
kmeans_ecoc_agg_desthr,0.9353544360231832,0.9871951488747921,0.955108359133127,0.9407939508506616,0.9420412151359033,0.9520986220035335,0.018709032593559806
svdd_ecoc_agg_desthr,0.9411260489037264,0.9411357861342075,0.9613281770902787,0.9313032991644414,0.9318414905133611,0.941346960361203,0.010868040353845341
parzen_max_agg_des,0.9486619655976161,0.9807152357026747,0.967989756722151,0.9399705602747708,0.9432328973697184,0.9561140831333862,0.015673676426773572
