1,2
2,2
3,9
4,9
5,7
6,5
7,10
8,4
9,9
10,9
11,9
1,2
2,2
3,9
4,9
5,7
6,5
7,10
8,4
9,8
10,9
11,9
1,2
2,2
3,3
4,9
5,7
6,7
7,10
8,4
9,8
10,9
11,6
1,2
2,2
3,3
4,9
5,7
6,7
7,10
8,3
9,8
10,9
11,6
1,2
2,2
3,3
4,6
5,7
6,7
7,10
8,4
9,8
10,9
11,11
1,2
2,2
3,3
4,4
5,7
6,7
7,10
8,4
9,9
10,9
11,6
1,1
2,11
3,11
4,5
5,7
6,9
7,1
8,10
9,9
10,8
11,8
1,1
2,10
3,11
4,5
5,5
6,9
7,1
8,8
9,9
10,10
11,8
1,1
2,10
3,1
4,7
5,5
6,5
7,1
8,11
9,9
10,10
11,5
1,10
2,10
3,11
4,7
5,5
6,4
7,10
8,11
9,10
10,7
11,5
1,10
2,10
3,9
4,7
5,7
6,3
7,7
8,4
9,10
10,10
11,5
1,10
2,10
3,9
4,5
5,7
6,3
7,7
8,10
9,10
10,2
11,3
1,10
2,1
3,2
4,4
5,9
6,4
7,9
8,10
9,2
10,2
11,3
1,10
2,1
3,2
4,4
5,9
6,3
7,10
8,10
9,2
10,2
11,3
1,10
2,10
3,2
4,4
5,9
6,3
7,10
8,11
9,2
10,1
11,3
1,1
2,10
3,2
4,4
5,9
6,9
7,9
8,11
9,3
10,2
11,3
1,1
2,1
3,2
4,4
5,9
6,9
7,7
8,11
9,3
10,10
11,2
1,1
2,1
3,2
4,4
5,9
6,9
7,9
8,4
9,5
10,1
11,2
