Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svc_ecoc_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_decision_templates_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc_max_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_decision_templates_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc_ecoc_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_max_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_ecoc_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc_majority_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_ecoc_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc_decision_templates_agg_ova_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc_decision_templates_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_majority_agg_ovo_desthr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
