Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
tree_max_agg_ova_desthr,0.8948137326515705,0.9301987396994668,0.9478512795750845,0.9646766169154228,0.947054436987323,0.9369189611657737,0.023709671247983507
tree_majority_agg_ovo_desthr,0.9296187683284457,0.8952981095492002,0.9130014499758338,0.9469885515181683,0.9294585196224541,0.9228730797988204,0.0174828851582661
svc_decision_templates_agg_ovo_desthr,0.9474324653200292,0.9825918762088974,0.9305019305019305,0.9823514789957744,0.8940298507462687,0.9473815203545801,0.033448440817867985
svc_decision_templates_agg_ova_desthr,0.9477377207839341,0.9477756286266925,0.9305019305019305,0.964816650148662,0.8764603529704201,0.9334584566063278,0.030495048670394775
tree_decision_templates_agg_ova_desthr,0.9298928919182083,0.9301987396994668,0.9304347826086956,0.9646766169154228,0.947054436987323,0.9404514936258235,0.013765122535790129
tree_decision_templates_agg_ovo_desthr,0.9649975692756442,0.877906976744186,0.9304347826086956,0.9646766169154228,0.9294585196224541,0.9334948930332805,0.03187598324186723
tree_ecoc_agg_ovo_desthr,0.9475218658892128,0.877906976744186,0.8437047756874095,0.9646766169154228,0.9294585196224541,0.912653750971737,0.045090716960980624
svc_majority_agg_ovo_desthr,0.9298587433024842,0.9825918762088974,0.9305019305019305,0.9823514789957744,0.8940298507462687,0.943866775951071,0.03417387582598745
svc_max_agg_ova_desthr,0.9477377207839341,0.9477756286266925,0.9305019305019305,0.964816650148662,0.8764603529704201,0.9334584566063278,0.030495048670394775
svc_ecoc_agg_ova_desthr,0.8962286812394907,0.9306191279209829,0.9479015918958031,0.964816650148662,0.8589170392449081,0.9196966180899693,0.03793557782866864
tree_ecoc_agg_ova_desthr,0.9131483715319663,0.9301987396994668,0.9652844744455159,0.9646766169154228,0.9294585196224541,0.940553344442965,0.020856205711624498
svc_ecoc_agg_ovo_desthr,0.9298587433024842,0.9652257908717701,0.9305019305019305,0.9823514789957744,0.8940298507462687,0.9403935588836456,0.03077507721929129
