Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svc_ecoc_agg_ovo_desthr,0.7794117647058824,0.7910447761194029,0.7910447761194029,0.7313432835820896,0.7910447761194029,0.7767778753292361,0.023159761980416277
tree_decision_templates_agg_ova_desthr,0.6470588235294118,0.6716417910447762,0.7014925373134329,0.6865671641791045,0.7164179104477612,0.6846356453028972,0.02399523175232953
svc_max_agg_ova_desthr,0.8088235294117647,0.8059701492537313,0.746268656716418,0.746268656716418,0.7611940298507462,0.7737050043898156,0.028058443306908817
tree_decision_templates_agg_ovo_desthr,0.7647058823529411,0.8507462686567164,0.7313432835820896,0.8208955223880597,0.8059701492537313,0.7947322212467076,0.042114418683788075
svc_ecoc_agg_ova_desthr,0.7205882352941176,0.7611940298507462,0.746268656716418,0.6865671641791045,0.7164179104477612,0.7262071992976294,0.025788663023798588
tree_max_agg_ova_desthr,0.75,0.7611940298507462,0.7611940298507462,0.746268656716418,0.7910447761194029,0.7619402985074626,0.015724856347541376
tree_ecoc_agg_ovo_desthr,0.75,0.8059701492537313,0.7910447761194029,0.7910447761194029,0.7761194029850746,0.7828358208955224,0.018938175433506736
svc_majority_agg_ovo_desthr,0.8088235294117647,0.8208955223880597,0.7910447761194029,0.7164179104477612,0.7611940298507462,0.7796751536435469,0.03747277859454229
tree_ecoc_agg_ova_desthr,0.6470588235294118,0.6567164179104478,0.6716417910447762,0.6716417910447762,0.7014925373134329,0.6697102721685689,0.018436389462204304
svc_decision_templates_agg_ova_desthr,0.7205882352941176,0.7910447761194029,0.7313432835820896,0.7164179104477612,0.7164179104477612,0.7351624231782264,0.028469435066342474
svc_decision_templates_agg_ovo_desthr,0.7794117647058824,0.7761194029850746,0.7611940298507462,0.7313432835820896,0.7014925373134329,0.749912203687445,0.029575631464213416
tree_majority_agg_ovo_desthr,0.7794117647058824,0.8059701492537313,0.7761194029850746,0.746268656716418,0.7761194029850746,0.7767778753292361,0.018925146351624098
