Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svc_ecoc_agg_ovo_desthr,0.7243589743589743,0.6602564102564102,0.6410256410256411,0.6730769230769231,0.6538461538461539,0.6705128205128206,0.028839030459492272
tree_decision_templates_agg_ova_desthr,0.4423076923076923,0.5641025641025641,0.4423076923076923,0.5961538461538461,0.5192307692307693,0.5128205128205128,0.06254518419307933
svc_max_agg_ova_desthr,0.7307692307692307,0.8717948717948718,0.7371794871794872,0.8012820512820513,0.8269230769230769,0.7935897435897437,0.05369331177274852
tree_decision_templates_agg_ovo_desthr,0.7115384615384616,0.7948717948717948,0.6410256410256411,0.8333333333333334,0.7371794871794872,0.7435897435897436,0.06674059017856598
svc_ecoc_agg_ova_desthr,0.48717948717948717,0.7371794871794872,0.5705128205128205,0.6730769230769231,0.5961538461538461,0.6128205128205129,0.0859643826371293
tree_max_agg_ova_desthr,0.5897435897435898,0.7307692307692307,0.5384615384615384,0.7628205128205128,0.6538461538461539,0.6551282051282051,0.08391317011258241
tree_ecoc_agg_ovo_desthr,0.6794871794871795,0.8269230769230769,0.6025641025641025,0.8012820512820513,0.7435897435897436,0.7307692307692308,0.08179045080890554
svc_majority_agg_ovo_desthr,0.7307692307692307,0.6538461538461539,0.6346153846153846,0.6666666666666666,0.6474358974358975,0.6666666666666666,0.0336767321450351
tree_ecoc_agg_ova_desthr,0.4358974358974359,0.5705128205128205,0.44871794871794873,0.5641025641025641,0.5192307692307693,0.5076923076923077,0.056381111352041074
svc_decision_templates_agg_ova_desthr,0.5064102564102564,0.6987179487179487,0.5833333333333334,0.6730769230769231,0.5897435897435898,0.6102564102564103,0.06884985426716694
svc_decision_templates_agg_ovo_desthr,0.7243589743589743,0.7948717948717948,0.6794871794871795,0.782051282051282,0.7435897435897436,0.7448717948717949,0.041424344670265394
tree_majority_agg_ovo_desthr,0.6923076923076923,0.8397435897435898,0.6025641025641025,0.7948717948717948,0.7243589743589743,0.7307692307692307,0.08239112314389554
