Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svc_ecoc_agg_ovo_desthr,0.8449612403100775,0.8992248062015504,0.9689922480620154,0.9534883720930233,0.8671875,0.9067708333333332,0.047954648307653544
tree_decision_templates_agg_ova_desthr,0.7596899224806202,0.8449612403100775,0.9147286821705426,0.9147286821705426,0.8359375,0.8540092054263566,0.0577551539818496
svc_max_agg_ova_desthr,0.8527131782945736,0.875968992248062,0.9612403100775194,0.9612403100775194,0.8671875,0.9036700581395347,0.047589069164815805
tree_decision_templates_agg_ovo_desthr,0.7984496124031008,0.8682170542635659,0.9147286821705426,0.9147286821705426,0.8984375,0.8789123062015503,0.04367033838955555
svc_ecoc_agg_ova_desthr,0.8527131782945736,0.875968992248062,0.9069767441860465,0.9457364341085271,0.8125,0.8787790697674417,0.04551623843267403
tree_max_agg_ova_desthr,0.8449612403100775,0.875968992248062,0.9534883720930233,0.9534883720930233,0.8671875,0.899018895348837,0.04560836244521283
tree_ecoc_agg_ovo_desthr,0.813953488372093,0.875968992248062,0.9457364341085271,0.937984496124031,0.8828125,0.8912911821705425,0.04781700003969725
svc_majority_agg_ovo_desthr,0.8527131782945736,0.8992248062015504,0.9689922480620154,0.9534883720930233,0.859375,0.9067587209302325,0.04749646251285354
tree_ecoc_agg_ova_desthr,0.7596899224806202,0.8449612403100775,0.9147286821705426,0.9147286821705426,0.859375,0.8586967054263566,0.05704494892709664
svc_decision_templates_agg_ova_desthr,0.8294573643410853,0.8682170542635659,0.9302325581395349,0.9302325581395349,0.8125,0.874127906976744,0.04924197039455712
svc_decision_templates_agg_ovo_desthr,0.8527131782945736,0.9069767441860465,0.8992248062015504,0.9069767441860465,0.8984375,0.8928657945736435,0.020405642955926312
tree_majority_agg_ovo_desthr,0.8294573643410853,0.8837209302325582,0.9612403100775194,0.9612403100775194,0.890625,0.9052567829457363,0.050382029544844956
