Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svc_ecoc_agg_ovo_desthr,0.7823529411764706,0.7928994082840237,0.834319526627219,0.7869822485207101,0.7988165680473372,0.7990741385311521,0.018472916733532595
tree_decision_templates_agg_ova_desthr,0.6176470588235294,0.7633136094674556,0.6331360946745562,0.650887573964497,0.6272189349112426,0.6584406543682562,0.05354366382577044
svc_max_agg_ova_desthr,0.7823529411764706,0.8106508875739645,0.8224852071005917,0.8224852071005917,0.8402366863905325,0.8156421858684302,0.01913964579570277
tree_decision_templates_agg_ovo_desthr,0.7058823529411765,0.7810650887573964,0.7455621301775148,0.7751479289940828,0.7159763313609467,0.7447267664462236,0.030272411895523994
svc_ecoc_agg_ova_desthr,0.7588235294117647,0.8047337278106509,0.8165680473372781,0.7928994082840237,0.8284023668639053,0.8002854159415245,0.023870968294352462
tree_max_agg_ova_desthr,0.6411764705882353,0.7869822485207101,0.7337278106508875,0.7692307692307693,0.6982248520710059,0.7258684302123217,0.05218018116427444
tree_ecoc_agg_ovo_desthr,0.7058823529411765,0.757396449704142,0.757396449704142,0.7928994082840237,0.7218934911242604,0.747093630351549,0.0304758326156741
svc_majority_agg_ovo_desthr,0.788235294117647,0.8047337278106509,0.8106508875739645,0.8224852071005917,0.7988165680473372,0.8049843369300383,0.011463200826812707
tree_ecoc_agg_ova_desthr,0.6058823529411764,0.7751479289940828,0.6153846153846154,0.650887573964497,0.6331360946745562,0.6560877131917855,0.06149223299966704
svc_decision_templates_agg_ova_desthr,0.7764705882352941,0.8165680473372781,0.8106508875739645,0.8047337278106509,0.8284023668639053,0.8073651235642186,0.0173173451403658
svc_decision_templates_agg_ovo_desthr,0.788235294117647,0.8165680473372781,0.7928994082840237,0.8165680473372781,0.7988165680473372,0.802617473024713,0.011874104415634225
tree_majority_agg_ovo_desthr,0.7176470588235294,0.7810650887573964,0.7988165680473372,0.7869822485207101,0.7159763313609467,0.7600974591019839,0.035805902278590485
